Category: All categories

Week,bitcoin: (United States)
2017-05-07,7
2017-05-14,7
2017-05-21,17
2017-05-28,10
2017-06-04,10
2017-06-11,11
2017-06-18,8
2017-06-25,8
2017-07-02,6
2017-07-09,7
2017-07-16,8
2017-07-23,8
2017-07-30,12
2017-08-06,11
2017-08-13,16
2017-08-20,12
2017-08-27,12
2017-09-03,12
2017-09-10,15
2017-09-17,11
2017-09-24,9
2017-10-01,8
2017-10-08,13
2017-10-15,15
2017-10-22,15
2017-10-29,22
2017-11-05,24
2017-11-12,26
2017-11-19,23
2017-11-26,62
2017-12-03,93
2017-12-10,85
2017-12-17,100
2017-12-24,58
2017-12-31,40
2018-01-07,40
2018-01-14,51
2018-01-21,34
2018-01-28,35
2018-02-04,44
2018-02-11,23
2018-02-18,20
2018-02-25,16
2018-03-04,16
2018-03-11,17
2018-03-18,15
2018-03-25,16
2018-04-01,15
2018-04-08,13
2018-04-15,12
2018-04-22,12
2018-04-29,10
2018-05-06,11
2018-05-13,10
2018-05-20,10
2018-05-27,9
2018-06-03,8
2018-06-10,12
2018-06-17,9
2018-06-24,10
2018-07-01,8
2018-07-08,8
2018-07-15,9
2018-07-22,10
2018-07-29,9
2018-08-05,9
2018-08-12,9
2018-08-19,8
2018-08-26,8
2018-09-02,9
2018-09-09,8
2018-09-16,7
2018-09-23,6
2018-09-30,5
2018-10-07,6
2018-10-14,5
2018-10-21,4
2018-10-28,5
2018-11-04,5
2018-11-11,7
2018-11-18,11
2018-11-25,12
2018-12-02,9
2018-12-09,9
2018-12-16,9
2018-12-23,8
2018-12-30,6
2019-01-06,6
2019-01-13,5
2019-01-20,4
2019-01-27,5
2019-02-03,5
2019-02-10,4
2019-02-17,6
2019-02-24,5
2019-03-03,5
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,9
2019-04-07,7
2019-04-14,6
2019-04-21,7
2019-04-28,6
2019-05-05,9
2019-05-12,16
2019-05-19,11
2019-05-26,11
2019-06-02,9
2019-06-09,8
2019-06-16,14
2019-06-23,23
2019-06-30,13
2019-07-07,13
2019-07-14,12
2019-07-21,9
2019-07-28,9
2019-08-04,11
2019-08-11,9
2019-08-18,8
2019-08-25,7
2019-09-01,7
2019-09-08,6
2019-09-15,6
2019-09-22,9
2019-09-29,7
2019-10-06,6
2019-10-13,6
2019-10-20,8
2019-10-27,7
2019-11-03,6
2019-11-10,5
2019-11-17,7
2019-11-24,7
2019-12-01,6
2019-12-08,5
2019-12-15,6
2019-12-22,5
2019-12-29,6
2020-01-05,7
2020-01-12,7
2020-01-19,6
2020-01-26,7
2020-02-02,8
2020-02-09,9
2020-02-16,7
2020-02-23,8
2020-03-01,6
2020-03-08,13
2020-03-15,12
2020-03-22,9
2020-03-29,8
2020-04-05,8
2020-04-12,8
2020-04-19,8
2020-04-26,11
2020-05-03,12
2020-05-10,14
2020-05-17,9
2020-05-24,8
2020-05-31,8
2020-06-07,7
2020-06-14,7
2020-06-21,7
2020-06-28,7
2020-07-05,7
2020-07-12,8
2020-07-19,7
2020-07-26,12
2020-08-02,10
2020-08-09,9
2020-08-16,9
2020-08-23,7
2020-08-30,8
2020-09-06,7
2020-09-13,6
2020-09-20,6
2020-09-27,5
2020-10-04,6
2020-10-11,6
2020-10-18,10
2020-10-25,10
2020-11-01,10
2020-11-08,11
2020-11-15,17
2020-11-22,18
2020-11-29,17
2020-12-06,13
2020-12-13,22
2020-12-20,21
2020-12-27,32
2021-01-03,52
2021-01-10,52
2021-01-17,32
2021-01-24,31
2021-01-31,27
2021-02-07,47
2021-02-14,44
2021-02-21,46
2021-02-28,31
2021-03-07,29
2021-03-14,30
2021-03-21,27
2021-03-28,26
2021-04-04,22
2021-04-11,33
2021-04-18,39
2021-04-25,27
2021-05-02,26
2021-05-09,37
2021-05-16,54
2021-05-23,37
2021-05-30,25
2021-06-06,29
2021-06-13,22
2021-06-20,26
2021-06-27,19
2021-07-04,16
2021-07-11,16
2021-07-18,18
2021-07-25,21
2021-08-01,17
2021-08-08,19
2021-08-15,16
2021-08-22,16
2021-08-29,14
2021-09-05,20
2021-09-12,15
2021-09-19,19
2021-09-26,15
2021-10-03,18
2021-10-10,21
2021-10-17,28
2021-10-24,25
2021-10-31,19
2021-11-07,22
2021-11-14,21
2021-11-21,19
2021-11-28,21
2021-12-05,23
2021-12-12,20
2021-12-19,18
2021-12-26,16
2022-01-02,20
2022-01-09,19
2022-01-16,23
2022-01-23,29
2022-01-30,19
2022-02-06,19
2022-02-13,18
2022-02-20,21
2022-02-27,19
2022-03-06,18
2022-03-13,15
2022-03-20,15
2022-03-27,15
2022-04-03,14
2022-04-10,14
2022-04-17,13
2022-04-24,13
2022-05-01,10
